Libellé;Nombre total de mariages enregistrés - France métropolitaine
2023-12;9875
2023-11;8504
2023-10;16895
2023-09;34808
2023-08;25292
2023-07;35598
2023-06;35637
2023-05;28896
2023-04;16952
2023-03;8991
2023-02;7362
2023-01;6239
2022-12;9334
2022-11;8756
2022-10;18487
2022-09;30500
2022-08;27743
2022-07;39552
2022-06;36518
2022-05;26115
2022-04;14883
2022-03;9577
2022-02;7896
2022-01;6165
2021-12;9283
2021-11;8600
2021-10;17462
2021-09;28382
2021-08;27373
2021-07;40526
2021-06;27701
2021-05;19377
2021-04;11009
2021-03;8729
2021-02;7705
2021-01;6735
2020-12;9593
2020-11;6807
2020-10;19495
2020-09;31071
2020-08;27218
2020-07;20456
2020-06;13554
2020-05;798
2020-04;221
2020-03;4916
2020-02;10528
2020-01;5888
2019-12;8871
2019-11;9288
2019-10;15662
2019-09;28294
2019-08;30218
2019-07;29515
2019-06;41641
2019-05;17973
2019-04;15550
2019-03;9390
2019-02;6601
2019-01;5632
2018-12;10797
2018-11;8752
2018-10;15594
2018-09;33281
2018-08;29869
2018-07;29815
2018-06;38425
2018-05;23342
2018-04;15381
2018-03;10293
2018-02;6964
2018-01;5974
2017-12;10411
2017-11;8120
2017-10;15090
2017-09;33976
2017-08;27818
2017-07;39227
2017-06;30925
2017-05;21835
2017-04;18070
2017-03;8461
2017-02;7478
2017-01;6347
2016-12;10291
2016-11;8377
2016-10;18046
2016-09;28547
2016-08;28955
2016-07;39004
2016-06;30716
2016-05;24158
2016-04;16515
2016-03;8489
2016-02;7186
2016-01;6330
2015-12;9408
2015-11;8776
2015-10;17635
2015-09;30422
2015-08;33086
2015-07;33251
2015-06;32317
2015-05;28323
2015-04;14637
2015-03;7858
2015-02;8350
2015-01;6301
2014-12;10697
2014-11;9244
2014-10;15427
2014-09;29240
2014-08;36253
2014-07;32457
2014-06;37593
2014-05;26395
2014-04;14124
2014-03;10345
2014-02;7729
2014-01;5811
2013-12;10286
2013-11;10420
2013-10;15017
2013-09;30607
2013-08;36086
2013-07;31387
2013-06;38952
2013-05;24253
2013-04;14517
2013-03;10030
2013-02;6256
2013-01;5297
2012-12;11999
2012-11;9061
2012-10;13644
2012-09;35743
2012-08;30618
2012-07;31694
2012-06;42442
2012-05;25988
2012-04;16397
2012-03;9656
2012-02;6885
2012-01;5713
2011-12;9057
2011-11;7739
2011-10;15624
2011-09;29327
2011-08;29444
2011-07;43287
2011-06;41621
2011-05;20146
2011-04;15910
2011-03;7345
2011-02;6297
2011-01;5303
2010-12;9274
2010-11;7947
2010-10;16622
2010-09;28773
2010-08;31377
2010-07;47729
2010-06;43329
2010-05;24890
2010-04;15431
2010-03;7434
2010-02;6773
2010-01;5755
2009-12;8321
2009-11;7475
2009-10;15883
2009-09;28928
2009-08;35716
2009-07;41855
2009-06;42072
2009-05;29179
2009-04;13898
2009-03;7618
2009-02;8384
2009-01;5822
2008-12;8646
2008-11;8575
2008-10;14908
2008-09;28517
2008-08;42860
2008-07;43214
2008-06;46309
2008-05;28467
2008-04;14715
2008-03;9567
2008-02;7622
2008-01;5339
2007-12;10023
2007-11;8531
2007-10;13728
